name,url,hex,note
Happy Holidays,https://inkswatch.com/ink.html?inkId=1274,#404898,
Jack Frost,https://inkswatch.com/ink.html?inkId=1092,#31438c,
Polar Glow,https://inkswatch.com/ink.html?inkId=1303,#414171,
Winter Miracle,https://inkswatch.com/ink.html?inkId=1275,#4d2965,
Holly,https://inkswatch.com/ink.html?inkId=1664,#39586b,
Blue Peppermint,https://inkswatch.com/ink.html?inkId=2042,#02a09a,
Garland,https://inkswatch.com/ink.html?inkId=1621,#202c32,
Subzero,https://inkswatch.com/ink.html?inkId=1637,#00748c,
Winter Spice,https://inkswatch.com/ink.html?inkId=1625,#35281d,
Arctic Blast,https://inkswatch.com/ink.html?inkId=1871,#0c3880,
Serendipity,https://inkswatch.com/ink.html?inkId=1867,#233345,
Spiced Apple,https://inkswatch.com/ink.html?inkId=1856,#883828,
Solar Storm,https://inkswatch.com/ink.html?inkId=1552,#ff9a42,
Upon a Star,https://inkswatch.com/ink.html?inkId=1864,#2a3642,
Astral,https://inkswatch.com/ink.html?inkId=2446,#1f1f1f,
Glacier,https://inkswatch.com/ink.html?inkId=2437,#446b83,
Raise A Glass,https://inkswatch.com/ink.html?inkId=2451,#382838,
Frosted Orchid,https://inkswatch.com/ink.html?inkId=1326,#805870,
Golden Ivy,https://inkswatch.com/ink.html?inkId=135,#386e3e,
Golden Oasis,https://inkswatch.com/ink.html?inkId=1327,#6bbb4c,
Golden Sands,https://inkswatch.com/ink.html?inkId=1053,#c27a38,
Night Sky,https://inkswatch.com/ink.html?inkId=456,#424242,
Pink Glitz,https://inkswatch.com/ink.html?inkId=1332,#e3475a,
Shimmering Seas,https://inkswatch.com/ink.html?inkId=469,#484860,
Stroke of Midnight,https://inkswatch.com/ink.html?inkId=2465,#3c3c44,
Emerald of Chivor,https://inkswatch.com/ink.html?inkId=330,#325a69,
Kyanite du Nepal,https://inkswatch.com/ink.html?inkId=297,#0878c0,
